beer_name,overall_rating,translated_comment
Aecht Schlenkerla Rauchbier Urbock,4.0,probably one of the best smoked ales i have had. aroma of cedarwood kippers. pours dark mahogany brown body tan lace top.  medium sweet to ashy bitter with some nice toffee malt along the way.  medium bodied smooth texture average carbonation and
Aecht Schlenkerla Rauchbier Urbock,4.0,pint bottle. a medium sized dark brown pour with a creamy beige head that has decent retention. the aroma is smoked
Aecht Schlenkerla Rauchbier Urbock,4.0,"clear copper, creamy tan head. aroma of smoked malt, citrus. taste of citrus, caramel, smoke."
Aecht Schlenkerla Rauchbier Urbock,4.0,"dark brown beer with foam. taste is bittersweet with smoke, some chocolate, some toffee and caramel. very fine beer."
Aecht Schlenkerla Rauchbier Urbock,4.0,"optically clear and very dark chestnut brown. The light brown, fine-pored foam head has"
Aecht Schlenkerla Rauchbier Urbock,4.0,"poured from 500ml bottle (bb 01/2024). dark brown with off white head. smoke, some iodine, gentle leather. great stuff."
Aecht Schlenkerla Rauchbier Urbock,4.0,"dark brown with medium foam
smell in the ham jar bread crust melanoids"
Aecht Schlenkerla Rauchbier Urbock,4.0,"brown, dark copper with a slight ruby ​​reflection, clear.
beige foam, medium high,"
Aecht Schlenkerla Rauchbier Urbock,4.0,"brown color with ruby ​​reflections. beige foam, abundant, slightly coating the glass. in aroma"
Aecht Schlenkerla Rauchbier Urbock,4.0,bottle pours out cola brown topped with a tan head. nose is smoke some ash a little cured meat. taste is more of the
Aecht Schlenkerla Rauchbier Urbock,4.0,tap half at the hope. pours clear ruby with a white head. aroma of smoke. smokey taste. bitter finish.
Aecht Schlenkerla Rauchbier Urbock,4.0,"a: dark mahogany colour, almost opaque, medium sized tanned head which didn't hang around too long."
Aecht Schlenkerla Rauchbier Urbock,4.0,"in the smell of the goat, but also in the smoke you can feel it. high foam but quickly falls. very dark ruby ​​color. in"
Aecht Schlenkerla Rauchbier Urbock,4.0,"looks dark brown in the glass, with reddish hints if seen through light. average sized off-white head, showing"
Aecht Schlenkerla Rauchbier Urbock,4.0,"dark brown color, clear, creamy foam, medium. typical bock plum notes in the taste enriched by light"
Aecht Schlenkerla Rauchbier Urbock,4.0,"shared bottle at cardinal, stavanger. pours clear dark copper with big beige head. aroma of smoke, chocolate, dark dried fruits, ethanol. tastes slightly sweet with balancing smokiness and bitterness. medium bodied."
Aecht Schlenkerla Rauchbier Urbock,4.0,"smell: r yk, fruits.
appearance: dark red brown.
foam/carbonation: thick covering foam, hang.
taste: fruits, faint smoke.
medium: rating:747414, bottle@500ml, abv@6.5%, n r@09.07.2023.
where: kj pt@brix brygghus, bryne.
aecht schlenkerla rauchbier urbock
smoked - rauchbier"
Aecht Schlenkerla Rauchbier Urbock,4.0,"0.5 l bottle at goblet beer store, zagreb. shared with pbf_pivica and sookie. dark amber, small beige head. moderate smokey aroma, smoked wood, light smoked ham. light caramel and bread underneath. intense smokey flavour, intense toasty, slightly one sided. savory, medium body. light grainy profile underneath. dry finish. pleasant."
