Beer Name,Beer Rating,Beer URL
Aecht Schlenkerla Rauchbier Urbock,4.0,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/
Duckpond Duckpond Darkwing De Luxe,3.8,https://www.ratebeer.com/beer/duckpond-duckpond-darkwing-de-luxe/1039111/271988/
Aecht Schlenkerla Weichsel Rotbier,3.8,https://www.ratebeer.com/beer/aecht-schlenkerla-weichsel-rotbier/1120814/358150/
Ayinger Altbairisch Dunkel,3.6,https://www.ratebeer.com/beer/ayinger-altbairisch-dunkel/2019/358150/
Russian River Beatification (Batch 002+),4.2,https://www.ratebeer.com/beer/russian-river-beatification-batch-002/86189/741642/
vandeStreek Blackbock,3.6,https://www.ratebeer.com/beer/vandestreek-blackbock/363857/58184/
Goose Island Bourbon County Stout - Cherry Wood,4.3,https://www.ratebeer.com/beer/goose-island-bourbon-county-stout-cherry-wood/969183/355741/
Aecht Schlenkerla Helles Lagerbier - Unfiltered,4.1,https://www.ratebeer.com/beer/aecht-schlenkerla-helles-lagerbier-unfiltered/613638/179120/
La Trappe Isid'or,4.1,https://www.ratebeer.com/beer/la-trappe-isidor/105788/77801/
Cantillon Blåbær Lambik,3.3,https://www.ratebeer.com/beer/cantillon-blabaer-lambik/66438/51287/
Bellwoods Brettal Head Foeder Aged Pale Ale (2020-),3.5,https://www.ratebeer.com/beer/bellwoods-brettal-head-foeder-aged-pale-ale-2020-/886453/1786/
U Tomana Otakarova 11%,3.5,https://www.ratebeer.com/beer/u-tomana-otakarova-11/708216/21776/
Knoblach Hell,3.5,https://www.ratebeer.com/beer/knoblach-hell/836683/14280/
Salopian Firkin Freezin',3.2,https://www.ratebeer.com/beer/salopian-firkin-freezin/82540/19328/
Salopian Polygraph,3.5,https://www.ratebeer.com/beer/salopian-polygraph/355462/19328/
Ayinger Festmärzen,2.9,https://www.ratebeer.com/beer/ayinger-festmarzen/2718/223563/
Goose Island Bourbon County Stout - Reserve 2021 Blanton's,4.2,https://www.ratebeer.com/beer/goose-island-bourbon-county-stout-reserve-2021-blantons/969187/385424/
Goose Island Bourbon County Stout - Reserve 2021 Blanton's,4.2,https://www.ratebeer.com/beer/goose-island-bourbon-county-stout-reserve-2021-blantons/969187/247503/
Goose Island Bourbon County Stout - Reserve 2021 Blanton's,4.2,https://www.ratebeer.com/beer/goose-island-bourbon-county-stout-reserve-2021-blantons/969187/195/
Goose Island Bourbon County Stout - Reserve 2021 Blanton's,4.2,https://www.ratebeer.com/beer/goose-island-bourbon-county-stout-reserve-2021-blantons/969187/95615/
Goose Island Bourbon County Stout - Reserve 2021 Blanton's,4.2,https://www.ratebeer.com/beer/goose-island-bourbon-county-stout-reserve-2021-blantons/969187/223563/
Short's Goodnight Bodacious,4.5,https://www.ratebeer.com/beer/shorts-goodnight-bodacious/173615/563195/
Arrogant Double Bastard Ale in the Rye,3.8,https://www.ratebeer.com/beer/arrogant-double-bastard-ale-in-the-rye/371904/237812/
Fremont Rusty Nail,4.3,https://www.ratebeer.com/beer/fremont-rusty-nail/268621/741642/
Great Lakes 35th Anniversary Barrel Aged Imperial Amber Lager,3.8,https://www.ratebeer.com/beer/great-lakes-35th-anniversary-barrel-aged-imperial-amber-lager/1139279/16302/
De Molen Hel & Verdoemenis (Hell & Damnation),3.7,https://www.ratebeer.com/beer/de-molen-hel-verdoemenis-hell-damnation/87696/385896/
Barrel Theory Rain Drops IPA,4.2,https://www.ratebeer.com/beer/barrel-theory-rain-drops-ipa/525110/115950/
Odd Side Ales Bean Flicker: Coffee Blonde,3.5,https://www.ratebeer.com/beer/odd-side-ales-bean-flicker-coffee-blonde/181260/79953/
Aecht Schlenkerla Rauchbier Urbock Jahrgangsbier 20xx,3.8,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock-jahrgangsbier-20xx/868076/137676/
Aecht Schlenkerla Weichsel Rotbier,3.7,https://www.ratebeer.com/beer/aecht-schlenkerla-weichsel-rotbier/1120814/137676/
St. Bernardus Tripel,4.2,https://www.ratebeer.com/beer/st-bernardus-tripel/2528/4447/
