Beer Name,URL,Rating,Review,rating,message
Aecht Schlenkerla Rauchbier Urbock,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/,,,4.0,Probably one of the best smoked ales I have had. Aroma of cedarwood kippers. Pours dark mahogany brown body tan lace top.  Medium sweet to ashy bitter with some nice toffee malt along the way.  Medium bodied smooth texture average carbonation and a smoky finish. Shame it's keg and therefore cold and I am too impatient to let it warm
Aecht Schlenkerla Rauchbier Urbock,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/,,,4.1,"Shared bottle at Cardinal, Stavanger. Pours clear dark copper with big beige head. Aroma of smoke, chocolate, dark dried fruits, ethanol. Tastes slightly sweet with balancing smokiness and bitterness. Medium bodied."
Aecht Schlenkerla Rauchbier Urbock,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/,,,3.6,"Lukt: Røyk, frukter.
Utseende: Mørk rødbrun.
Skum/kullsyre: Tykt dekkende skum, heng.
Smak: Frukter, svak røyk.
Medium: Rating:747414, Flaske@500ml, ABV@6,5%, Når@09.07.2023.
Hvor: Kjøpt@Brix Brygghus, Bryne.
Aecht Schlenkerla Rauchbier Urbock
Smoked - Rauchbier"
Aecht Schlenkerla Rauchbier Urbock,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/,,,3.7,"0.5 l bottle at Goblet Beer Store, Zagreb. Shared with pbf_pivica and Sookie. Dark amber, small beige head. Moderate smokey aroma, smoked wood, light smoked ham. Light caramel and bread underneath. Intense smokey flavour, intense toasty, slightly one sided. Savory, medium body. Light grainy profile underneath. Dry finish. Pleasant."
Aecht Schlenkerla Rauchbier Urbock,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/,,,3.7,"50cl bottle, a few months past is BBD. Pours very dark ruby with off-white head. Smoke on the nose. Palate: gentle smoke, caramel, hopbitters, a tiny sweetness: all in a lovely balanced way. My first Rauchbier, taste like more."
Aecht Schlenkerla Rauchbier Urbock,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/,,,3.9,"50 cl. bottle @ home, served in a teku glass, best before: 2023/11.

Aroma: medium intensity aromas of smoke, firepit, smoked wood, hints of toasted malts, caramel, caramel malts.

Appearance: dark copper color with very light brown head made of small bubbles, some of them grow up very slowly to become medium sized ones, high head thickness, extremely high retention, low haziness, high Brussels' lacing.

Taste: low to medium sweetness, low to medium bitterness, no sourness. Flavors of smoked wood, firepit, smoke, smoked ham, smoked bacon, hints of toasted malts, caramel, burnt caramel, caramel malts. Very well balanced.

Mouthfeel: medium body, watery to silky texture, medium carbonation, very long dry finish with low to medium sweetness and bitterness and the aforementioned flavors. Alcohol is not very high, very well hidden, not noticeable in the aroma or flavor and only noticeable because of a low to medium mouth and throat warming. Astringency is not noticeable. Hop burn is not noticeable.

Overall: very good appearance, aromas and flavors of smoke, smoked wood, firepit, smoked ham, smoked bacon, smoked malts, toasted malts, caramel, caramel malts, burnt caramel. Very drinkable, nice mouthfeel, very good beer."
Aecht Schlenkerla Rauchbier Urbock,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/,,,4.1,"Po zapachu wędzonka, oscypek. Zacnie.
Z wyglądu dosyć ciemne, brązowe. Super trwała, beżowa piana, drobna.
W smaku mnóstwo wędzonki, dosyć lekkie jak na taki styl, goryczka niska.
Bardzo dobre piwo."
Aecht Schlenkerla Rauchbier Urbock,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/,,,4.0,"Im dunklen Kastanienbraun wirkt der Schlenkerla Urbock tatsächlich äußerst urig. Die hellbraune Schaumkrone ist sehr cremig, zerfällt jedoch recht schnell, bis nur noch ein Daumenbreit Schaum übrig bleibt. Ohne das man das Glas erst an die Nase führen muss, kommt einem sofort eine göttliche rauchige Specknote entgegen. Im samtig weichen Antrunk stoße ich auf eine Mischung aus fettem süßen Dunkelmalz, Röstmalz, Espresso und Kakao, während die milde hopfenwürzige Herbe durchgängig im Hintergrund verweilt. Die signifikante Rauchigkeit tritt zur Mitte maßgeblich in Erscheinung, zu Ungunsten der trockenen Röstigkeit. Bei milder Rezenz zeigt sich der Schlenkerla Urbock vollmundig bis bocktypisch fett. Im Abgang trifft eine trockene Malzbittere auf eine zunehmende, nach hinten raus leicht salzige Rauchigkeit. Einen tiefen und fein komponierten Bock mit durchgängiger solider Rauchigkeit hatte ich hier im Glas. Sehr gut!"
Aecht Schlenkerla Rauchbier Urbock,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/,,,4.1,"Bottle. Clear hazelnut brown color, fine beige head. Nice, smoked ham, malty open fire aroma. Medium dry, medium bitter taste. Nutty, malty, not overwhelming smoky aftertaste. Full body, silky mouth feel."
Aecht Schlenkerla Rauchbier Urbock,https://www.ratebeer.com/beer/aecht-schlenkerla-rauchbier-urbock/6349/359461/,,,4.0,"Bevuta il 02/02/2023 @home. Gentile regalo di Franco. 
Tonaca di frate. Schiuma beige, cremosa, con molte bollicine a grana finissima e mediamente persistente. Al naso sentori di fumo, scamorza, carne affumicata. In bocca malto, caramello, retrogusto affumicato di speck e scamorza. Buon corpo


Bevuta il 20/01/2024 @home. Bottiglia da 50cl acquistata sul sito di Schlenkerla. Tonaca di frate. Abbondante schiuma beige, pannosa, soffice, compatta, con molte bollicine a grana finissima e mediamente persistente. Al naso inebriante aroma di scamorza e speck affumicati. In bocca Ingresso di caramello, malto, miele, poi emerge la nota affumicata che ricorda tantissimo la scamorza. Buon corpo. Carbonazione medio-alta."
